parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,qvalue,neg_log10_pvalue,neg_log10_qvalue
disease,0.4278713275336209,0.12069998313155776,0.10463540444402387,0.2216952996329666,0.6340473554342752,4.089163986196627,6.004012647300093e-05,Bin 41,0.0003253787499181986,4.221558401597512,3.487610813705922
disease,-0.3231247692226803,0.06946770546380071,0.08191854301649659,-0.4845389664563278,-0.16171057198903277,-3.944464309596059,0.00010648382075809962,Bin 57,0.000544938560627836,3.972716374284042,3.2636524597131333
disease,0.3383916135525254,0.10028437667470368,0.0859040314962406,0.16912431737628217,0.5076589097287686,3.9391819878364425,0.0001087017629417842,Bin 101,0.000544938560627836,3.9637634124023884,3.2636524597131333
disease,0.6631361288243361,0.22256438307177873,0.1685022636136572,0.3311153602448253,0.9951568974038473,3.935473118300524,0.0001102851848889668,Bin 84,0.000544938560627836,3.957482824396741,3.2636524597131333
disease,0.21589891582073295,0.06883458421914045,0.056485320836797824,0.10459892948527441,0.3271989021561916,3.822212791258217,0.0001706484027243967,Bin 58,0.0008191123330771041,3.767897772379348,3.086656535003761
disease,0.43718194988551023,0.14208971138349927,0.11583424241026533,0.20893947190277212,0.6654244278682484,3.774203040384945,0.0002047236313886432,Bin 21,0.0009553769464803349,3.688832023535183,3.0198252425766072
disease,0.4385089594638849,0.1455317414275993,0.11694425217070491,0.20807929250286156,0.6689386264249083,3.749726483553789,0.00022448065890997416,Bin 98,0.0010192635323479908,3.6488210715449303,2.9917135138860624
disease,16.324492696482647,6.74447377029654,4.374454811247682,7.704965472344655,24.94401992062064,3.731777650213416,0.000240099211546753,Bin 119,0.0010614912510488028,3.619609266104808,2.9740835809957553
disease,0.541147481778807,0.18882834594190345,0.14629190659759936,0.2528905158257384,0.8294044477318757,3.699093780131834,0.00027120897612638377,Bin 30,0.00116828482023673,3.5666959408461008,2.9324512661467375
disease,2.870233021765902,1.1927395081650087,0.7998265829888352,1.294236170927434,4.44622987260437,3.588569175883427,0.000406958365382062,Bin 96,0.0017092251346046605,3.3904500197913277,2.7672007293934273
disease,-0.36425410191632857,0.08235060224898079,0.10200048346276476,-0.5652382203993753,-0.16326998343328183,-3.571101719819783,0.0004335339135436203,Bin 49,0.0017764316457397125,3.3629769238192173,2.75045149881309
disease,-0.1587645990555611,0.04634209883803625,0.04466020757281916,-0.2467641079360227,-0.07076509017509944,-3.554945390629744,0.0004595588187508373,Bin 71,0.0018382352750033492,3.3376588955420137,2.735598904214051
disease,0.31390753170956265,0.1070076541865161,0.08871236468257102,0.1391066306845998,0.48870843273452563,3.5384868031957097,0.0004875743823702251,Bin 93,0.0019049417729813448,3.3119591207064865,2.7201182945602103
disease,-0.4587298188009873,0.12285240072673552,0.13424359857063875,-0.7232465191611495,-0.19421311844082514,-3.417144829886279,0.0007492745871496575,Bin 22,0.0028608666054805105,3.125358996946586,2.5435023917069106
disease,-0.13244144127654625,0.041481503068639375,0.039725108240492385,-0.21071671596456845,-0.05416616658852404,-3.333947902036092,0.000999179106869495,Bin 42,0.0037302686656461147,3.0003566557649806,2.4282598878144617
disease,0.9053819301350772,0.3903284405100311,0.2722716696807913,0.36889151694328604,1.4418723433268685,3.325288786734728,0.0010292374976219,Bin 116,0.003758954339140852,2.987484399770649,2.42493294972636
disease,0.19552283374889975,0.06664886847637574,0.05931516419803499,0.07864685841716382,0.3123988090806357,3.29633806788614,0.0011359602514853,Bin 114,0.004060453664883625,2.9446368648068773,2.391425441016732
disease,0.3034756968802904,0.10994517524616206,0.09353261184811788,0.11917686903626985,0.487774524724311,3.2445976957543614,0.0013527343895249,Bin 8,0.004688147527594628,2.8687874690991793,2.3289987303064814
disease,0.3958407082939631,0.14403508585568917,0.12212076851943877,0.15521111345178276,0.6364703031361436,3.2413873012185848,0.0013673763622151,Bin 146,0.004688147527594628,2.864111932003831,2.3289987303064814
disease,-0.14897275380537217,0.050183427251340555,0.04619570333538694,-0.2399978391517218,-0.05794766845902254,-3.2248183932564074,0.0014453111435143,Bin 36,0.0048265525605047065,2.840038648848422,2.3163629600399434
disease,0.1967573535850994,0.0701967099205831,0.06109106556278911,0.07638210101279778,0.3171326061574011,3.2207222410104,0.0014652034558675,Bin 18,0.0048265525605047065,2.83410206566787,2.3163629600399434
disease,-0.17544772088644556,0.05131677100832929,0.05461756972763183,-0.2830674471145244,-0.06782799465836675,-3.2122945374789165,0.0015069325315839,Bin 91,0.004868551255886446,2.8219061914920975,2.312600253401034
disease,0.26712651425049466,0.10197785033365363,0.08502231097914249,0.09959658063236199,0.4346564478686274,3.141840196698789,0.0019014115208263,Bin 139,0.00602711576412865,2.720923878988099,2.2198904668630255
disease,0.15406287035403624,0.054826295059859254,0.0497410660952489,0.056051919992119316,0.25207382071595313,3.09729731282844,0.0021979630315246,Bin 33,0.006838107209187644,2.657979616434771,2.1650640945318766
disease,-0.27803626367513157,0.06969913484761066,0.09047549549733824,-0.4563112785527571,-0.09976124879750597,-3.0730559931922263,0.0023767461012637,Bin 126,0.007259879000223665,2.6240172098198298,2.1390706175882106
disease,-0.1731985677519562,0.06083732023285507,0.057671056843052196,-0.28683495581689905,-0.0595621796870133,-3.00321473600361,0.0029694257928815,Bin 118,0.0089082773786445,2.5273275234412687,2.0502062687216065
disease,-0.2280099817972227,0.07597626213898488,0.07751022745302127,-0.38073793179515375,-0.07528203179929163,-2.941676076688317,0.0036011275559018,Bin 141,0.01061384963844741,2.4435614951676854,1.974127069114314
disease,-0.29645704046244004,0.09045323581740429,0.10177426465444207,-0.4969954121584961,-0.09591866876638398,-2.9128880613287813,0.0039369847438536,Bin 135,0.011403679947713878,2.404836268134087,1.9429549799711614
disease,0.5508313282228876,0.22059667468321853,0.189464909331626,0.1775052762989464,0.9241573801468289,2.907299985871006,0.0040054068875491,Bin 132,0.011405226391665234,2.3973533597191765,1.942896089635458
