parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,fold_change,qvalue,neg_log10_pvalue,neg_log10_qvalue
adenoma,-0.144332160558047,0.1408684447185378,0.0727803702046093,-0.2875275039154528,-0.0011368172006413,-1.9831193514443843,0.0482195346483878,Bin 1686,-0.9999999999999994,0.6540225355819586,1.3167769851782358,0.1844072869811257
adenoma,-28.12303434390758,27.09793541354432,14.26647522406788,-56.192317482576485,-0.0537512052386794,-1.9712671772256232,0.0495655427444371,Bin 2101,-0.8933427043616943,0.6540225355819586,1.3048201339197616,0.1844072869811257
adenoma,-0.2700214066657448,0.2659459021676369,0.1374022496864573,-0.5403602668091927,0.00031745347770301136,-1.9651891237728312,0.0502680002816424,Bin 1756,-1.0000000000000004,0.6540225355819586,1.2987083911578834,0.1844072869811257
adenoma,7.04146576702363,2.538057529742362,3.5917270364607994,-0.0252554489603529,14.108186983007611,1.960467957487693,0.0508194069866382,Bin 1401,0.6388896575800925,0.6540225355819586,1.2939704070529332,0.1844072869811257
adenoma,-0.2303258800580847,0.2277030696304001,0.1176439034131372,-0.4617902034160161,0.0011384432998467,-1.9578224912279163,0.0511306023840659,Bin 2037,-0.9999999999999996,0.6540225355819586,1.2913190906973875,0.1844072869811257
adenoma,-0.3501834923277437,0.3462437504871418,0.1788885253318221,-0.7021465798412492,0.0017795951857617,-1.957551450984264,0.0511625761401675,Bin 1582,-1.0,0.6540225355819586,1.2910475960289611,0.1844072869811257
adenoma,-0.7864099121398145,0.7549366248529671,0.4020725878869981,-1.5774875353398272,0.0046677110601981,-1.9558903935048508,0.0513588934311004,Bin 1776,-0.8854477868948056,0.6540225355819586,1.2893843420642832,0.1844072869811257
adenoma,-0.6748665625126063,0.6687301449853079,0.3455026966206592,-1.3546429518661678,0.0049098268409552,-1.9532888429336008,0.0516676388765293,Bin 1853,-1.0000000000000002,0.6540225355819586,1.2867813845221552,0.1844072869811257
adenoma,-0.3920412190535212,0.3888615824268808,0.2009072364213752,-0.7873261100408482,0.0032436719338058,-1.9513543963706157,0.0518982244024476,Bin 633,-0.9999999999999997,0.6540225355819586,1.2848475004446123,0.1844072869811257
adenoma,-0.2373764753939705,0.235764397682167,0.1218088279363023,-0.4770352857471678,0.0022823349592267,-1.948762494604268,0.052208533816677,Bin 756,-0.9999999999999996,0.6540225355819586,1.2822585030020333,0.1844072869811257
