parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,qvalue,neg_log10_pvalue,neg_log10_qvalue
disease,-0.313728012552025,0.14261569366924337,0.13379923021247697,-0.5767881454568021,-0.05066787964724784,-2.344766947117827,0.0195410470268448,Bin 105,0.07444736272175925,1.7090521701055372,1.1281506824070893
disease,-0.2811436487150569,0.1217866235831325,0.12017093956642547,-0.5174094574453073,-0.044877839984806524,-2.339531085713551,0.0198131511104577,Bin 107,0.07444736272175925,1.7030464481841667,1.1281506824070893
disease,-0.5268247518386744,0.22805712816091142,0.22541932096846753,-0.9700174102650454,-0.08363209341230339,-2.3370878306938407,0.0199412578718998,Bin 39,0.07444736272175925,1.7002474503576086,1.1281506824070893
batch_1,0.09208644976410388,0.038109391417240214,0.039552034609563726,0.014323943473720631,0.16984895605448713,2.3282354668509844,0.0204115113665991,Bin 111,0.07536558043051976,1.6901248368384214,1.122826951769671
batch_1,0.28956840453797833,0.12345575279606544,0.12472470321688083,0.04434952732442341,0.5347872817515331,2.3216604014238835,0.020767047804033,Bin 114,0.07537270643541213,1.6826252373862027,1.1227858900769925
batch_1,0.6408278748312937,0.27648347587610284,0.2762284991544737,0.09774025329364097,1.1839154963689464,2.319919475335987,0.020862088388373,Bin 116,0.07537270643541213,1.6806422189129013,1.1227858900769925
batch_1,27.067488607216465,13.421539644852373,11.74352995287095,3.97875674181156,50.15622047262137,2.304885218996632,0.0216987948577103,Bin 130,0.07756164970415597,1.663564386021535,1.1103529622313895
disease,-0.4106039873325868,0.1843918505827147,0.17860222664002473,-0.7617504431261178,-0.059457531539055745,-2.298985824852928,0.02203504035329,Bin 76,0.07793445851268885,1.6568861498195886,1.1082704777185923
disease,0.29216336430686224,0.12453212160064407,0.12871487472952298,0.039099486440003016,0.5452272421737215,2.2698492689427257,0.0237632889819077,Bin 109,0.08317151143667696,1.6240934505662488,1.080025406215973
batch_1,-0.10485401537400547,0.0450273690793229,0.04639938007784665,-0.1960789579285658,-0.013629072819445122,-2.2598150061075484,0.0243852167103709,Bin 25,0.08446837953283116,1.6128733804989046,1.0733058373753053
disease,0.21055930609141932,0.09432188780087238,0.094965801112962,0.02384884279119897,0.3972697693916397,2.217211918645941,0.0271860585674189,Bin 141,0.09320934365972193,1.5656537518276858,1.0305405501303369
disease,-0.4703866152766362,0.22367484748370564,0.21313402451537278,-0.8894253849803773,-0.05134784557289511,-2.206999170339922,0.0278974906648508,Bin 164,0.09468239255949362,1.5544348590711887,1.0237307762788945
